Município;Qtd_aprovada;Valor_aprovado;Qtd_apresentada;Valor_apresentado;Qtd_Recusa_Pgto;Perda_Repasse
210408 Fernando Falcão;6443;43191,98;7335;50632,13;892;7440,15
210409 Formosa da Serra Negra;3531;23806,64;6894;47969,31;3363;24162,67
210410 Fortaleza dos Nogueiras;3662;-;3662;-;0;0
210430 Godofredo Viana;6;-;6;-;0;0
210455 Governador Edison Lobão;2570;12262,63;3977;24713,32;1407;12450,69
210462 Governador Luiz Rocha;3087;-;3087;-;0;0
210465 Governador Newton Bello;16325;21706,51;17170;36971,01;845;15264,5
210467 Governador Nunes Freire;13364;92301,75;13589;94239,11;225;1937,36
210480 Grajaú;43697;799065,45;43704;799065,45;7;0
210490 Guimarães;299;1004,85;351;1262,25;52;257,4
210515 Igarapé do Meio;551;5747,67;930;7069,03;379;1321,36
210530 Imperatriz;241214;2386192,28;241214;2386192,28;0;0
210535 Itaipava do Grajaú;8216;50211,3;9640;58478,32;1424;8267,02
210540 Itapecuru Mirim;9639;43773,91;9643;43792,15;4;18,24
210547 Jenipapo dos Vieiras;9639;37523,54;9639;37523,54;0;0
210560 Joselândia;892;2040,92;892;2040,92;0;0
210580 Lago do Junco;6753;39741,61;8037;47000,31;1284;7258,7
210590 Lago Verde;15;-;15;-;0;0
210592 Lagoa do Mato;19593;17170,4;19621;17383,84;28;213,44
210596 Lagoa Grande do Maranhão;2347;11115,12;3082;14753,37;735;3638,25
210610 Loreto;1973;5973,06;1973;5973,06;0;0
210620 Luís Domingues;9066;-;9066;-;0;0
210632 Maracaçumé;9405;22710,89;9405;22710,89;0;0
210635 Marajá do Sena;571;1333,97;571;1333,97;0;0
210637 Maranhãozinho;11420;47878,45;12793;55680,82;1373;7802,37
210663 Matões do Norte;2293;18081,4;2520;20585,52;227;2504,12
210670 Mirador;33014;-;33014;-;0;0
210710 Morros;195;806,85;195;806,85;0;0
210720 Nina Rodrigues;5336;20009,45;5416;20405,45;80;396
210760 Palmeirândia;15828;58985,53;23250;115882,36;7422;56896,83
210820 Pedreiras;103041;751051,96;103594;751053,22;553;1,26
210825 Pedro do Rosário;933;2573,1;933;2573,1;0;0
210830 Penalva;15059;60400,72;15378;60640,64;319;239,92
210880 Pirapemas;8356;52482,78;8356;52482,78;0;0
210905 Porto Rico do Maranhão;955;2649,23;955;2649,23;0;0
210923 Presidente Médici;3670;13974,73;5637;19731,68;1967;5756,95
210927 Presidente Sarney;7;-;7;-;0;0
210950 Riachão;12698;27578,1;13951;35536,05;1253;7957,95
210955 Ribamar Fiquene;20;-;20;-;0;0
210970 Sambaíba;764;2996,9;764;2996,9;0;0
210980 Santa Helena;32367;66755,07;34098;87902,13;1731;21147,06
211010 Santa Quitéria do Maranhão;1730;9069,04;1730;9069,04;0;0
211023 Santana do Maranhão;4125;17144,75;4204;17714;79;569,25
211070 São Domingos do Maranhão;22010;82987,38;22714;91734,15;704;8746,77
211080 São Félix de Balsas;3863;-;3863;-;0;0
211090 São Francisco do Maranhão;1176;3804,63;1611;8154,63;435;4350
211100 São João Batista;8212;22111,21;8212;22111,21;0;0
211107 São João do Soter;14496;52300,97;15997;61459,19;1501;9158,22
211130 São Luís;972331;11001431,29;976270;11027208,19;3939;25776,9
211150 São Mateus do Maranhão;17184;86511,3;17184;86511,3;0;0
211153 São Pedro da Água Branca;82;-;82;-;0;0
211160 São Raimundo das Mangabeiras;6242;743,81;6242;743,81;0;0
211163 São Raimundo do Doca Bezerra;4903;16309,34;4913;16572,17;10;262,83
211167 São Roberto;11685;14530,8;11705;14629,8;20;99
211172 Satubinha;2983;12183,62;3103;12444,42;120;260,8
211174 Senador Alexandre Costa;1611;9588,98;2015;12866,78;404;3277,8
211176 Senador La Rocque;85;-;85;-;0;0
211180 Sítio Novo;15942;23984,53;17096;35144,97;1154;11160,44
211200 Tasso Fragoso;9;-;9;-;0;0
211220 Timon;100852;587455,77;101195;588148,99;343;693,22
211260 Urbano Santos;9445;20345,49;9445;20345,49;0;0
211270 Vargem Grande;16038;76852,24;16038;76852,24;0;0
211285 Vila Nova dos Martírios;12003;23400,35;12082;23692,65;79;292,3
220005 Acauã;20;3000;20;3000;0;0
220010 Agricolândia;419;6218,25;437;6442,71;18;224,46
220020 Água Branca;15057;79434,97;15057;79434,97;0;0
220025 Alagoinha do Piauí;784;3150;784;3150;0;0
220027 Alegrete do Piauí;24;3600;24;3600;0;0
220030 Alto Longá;3748;22516,62;4796;32677,57;1048;10160,95
220040 Altos;10232;56675,64;11485;63337,23;1253;6661,59
220045 Alvorada do Gurguéia;55;3000;55;3000;0;0
